,USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION,YEAR,MONTH,DAY,TIME,YEARMONTH,Flag,temp
15,沐子闻,#旅游##西班牙##巴塞罗那##米拉之家##凯旋门##帕特罗之家##圣家堂##纪念斗牛场# 为期两天半的巴塞罗那之旅结束，下一站要飞到波尔图跨年咯！ 2西班牙·巴塞罗那 ​,2017年12月30日 06:15,评论 , 2,西班牙·巴塞罗那,2017,12,30,06:15,201712,11,0.11560693641618497
16,厚叔行迹,#米拉之家# 各种动物植物的纹理建成了这个伟大的建筑🏠 2西班牙·米拉之家 ​,2017年12月30日 04:27,评论 , 1,西班牙·米拉之家,2017,12,30,04:27,201712,12,0.07936507936507936
17,CheukNinf,#巴塞罗那##Barcelona#2西班牙·米拉之家#高迪朝圣之行# 2西班牙·巴塞罗那 ​,2017年12月30日 03:11,评论 , ,西班牙·米拉之家西班牙·巴塞罗那,2017,12,30,03:11,201712,13,0.15037593984962405
20,胡恩绮Heidi,巴萨罗纳的传奇-高迪：圣家堂、米拉之家、巴特罗之家。 2西班牙·巴塞罗那 ​,2017年12月29日 13:35,评论 2, 4,西班牙·巴塞罗那,2017,12,29,13:35,201712,14,0.144
21,沙漠小提琴,#叙述# 阿哲一个人在巴塞罗那骑自行车、开敞篷跑车、乘巴士……听写歌，看着他在拍米拉之家、在日本的铁道边徘徊……,2017年12月29日 12:11,评论 , 2,,2017,12,29,12:11,201712,15,0.13986013986013987
23,温晴晴er,——————高迪·米拉之家——————烟囱戴上了帽子给屋顶撑一把伞 ​,2017年12月29日 06:33,评论 , 1,,2017,12,29,06:33,201712,16,0.09836065573770492
25,Hay_HK,巴塞隆納part1~~終於把想去的城市之一畫掉了😂 米拉之家，聖家堂都去了~因為平安夜跟聖誕節很多店不是沒開就是只吃套餐，所以只能買回家自己煮了哈哈~在飛機上送了張cd給印度的小姐姐，她說她是做船務的，跟日本韓國都有連系，說會好好了解申天歌的😂😂 感謝站子@BplusSHCJHK  給我專輯做這瘋狂的行為喔^^ 2西班牙·巴塞罗那 收起全文d,2017年12月29日 03:14,评论 , 4,西班牙·巴塞罗那,2017,12,29,03:14,201712,17,0.07722007722007722
26,李导2008,大概是因为这里的天太蓝，才让西班牙的艺术家都偏爱蓝色！米拉之家、巴特约之家、奎尔公园，第一次为一个艺术家的惊人才华所折服，叹为观止！！ 2西班牙·巴塞罗那 ​,2017年12月29日 02:38,评论 1, 8,西班牙·巴塞罗那,2017,12,29,02:38,201712,18,0.12048192771084337
27,耿京海,巴塞罗那·米拉之家  ​​​ 2西班牙·巴塞罗那 ​,2017年12月28日 23:10,评论 , ,西班牙·巴塞罗那,2017,12,28,23:10,201712,19,0.1415929203539823
28,韩瑞在里约,如果说巴塞罗纳只能去一个地方，那么就是米拉之家。这是富豪米拉先生（Pere Milà）为了和富孀 Roser Segimon 结婚，而请高迪设计的一套高档公寓。从空中看是个8字型的筒子楼，一共六层，设计的特点是整个建筑物的重量完全由柱子来承受，不论是内墙外墙都没有承受建筑本身的重量，建筑物本身没有主墙，内部的住宅可以随意隔间改建，所以整个米拉之家的外墙和楼顶就让高迪玩成了童话古堡。尤其是房屋的屋顶，完全是外星人的手笔，据说星战的很多角色设计就是从这里获得的灵感。2西班牙 #带着微博去西班牙# 收起全文d,2017年12月28日 21:42,评论 11, 5,西班牙,2017,12,28,21:42,201712,20,0.1348973607038123
29,三生婚礼,#宴会设计##西安高端婚礼定制##你的婚礼专家##自然系婚礼# Samson分享---#米拉之家#“他们在同样的地方留学却不曾相遇，在追逐幸福的路上竟留有同样的印记。你们的相遇如那难得一见的彩虹，携手冬日的暖阳，照亮共同的家！”策划设计：三生婚礼婚礼主持：山丘主持人-岳宏博新娘美妆：蜗牛美妆-安静纪实摄影：云门影集婚礼跟拍：木一光影灯光设计：恒盛舞美@云门影集 @蜗牛美妆-安静 @山丘-岳宏博 @木一光影 收起全文d,2017年12月28日 20:58,评论 , 3,,2017,12,28,20:58,201712,21,0.06060606060606061
30,陆小茸_一只鹿茸,ahhhhhhh//@走遍巴塞罗那: #你不知道的巴塞罗那# 业主米拉先生因为对高迪设计的公寓外观极其不满，而跟高迪决裂，还拖欠高迪尾款... 因为当年巴塞罗那的市民都觉得米拉之家很《吃藕丑》,2017年12月27日 16:07,评论 , ,,2017,12,27,16:07,201712,132,0.9508196721311475
31,密斯脱邹,旅西班牙时，见到高迪的杰作米拉之家，奎尔公园，甚感讶异。想不到还有这么多令人脑洞大开之建筑！,2017年12月28日 08:00,评论 , ,,2017,12,28,08:00,201712,23,0.10526315789473684
32,Negritobeyourself,#Barcelona💛🇪🇸圣家族大教堂&巴特罗之家&米拉之家&奎尔公园&诺坎普 2西班牙·巴塞罗那 ​,2017年12月28日 07:11,评论 , 9,西班牙·巴塞罗那,2017,12,28,07:11,201712,24,0.10144927536231885
33,闲而言之,米拉之家Casa Milà，整栋建筑就像在波涛汹涌的海面上流动……你走到哪里，光影就流动到哪里。向高迪致敬！ ​,2017年12月28日 07:08,评论 , ,,2017,12,28,07:08,201712,25,0.055944055944055944
34,闲而言之,著名的米拉之家Casa Milà屋顶，震撼于高迪的烟囱和通风管道的处理手法。在上上下下的曲面台阶移动，过于专注拍照，加上今天的巴塞罗那横风肆虐，屋顶的风啊！更甚到七八级大风，差一点失足 ​,2017年12月28日 06:58,评论 , ,,2017,12,28,06:58,201712,26,0.08839779005524862
35,__芋泥鸽,事实证明 就算是两百斤的胖子 有一天也会怕被风吹走2西班牙·米拉之家 2西班牙·巴塞罗那 L__UNSENtiMENtal的秒拍视频 ​,2017年12月28日 05:03,评论 5, 11,西班牙·米拉之家西班牙·巴塞罗那,2017,12,28,05:03,201712,27,0.09032258064516129
38,Puddingkiwi,La Pedrera - Casa Milà米拉之家色彩缤纷的海洋狂想曲💙属于上帝的曲线外星人烟囱二十世纪的精致小物件太可爱了❤️ 2西班牙·巴塞罗那 ​,2017年12月27日 16:07,评论 5, 4,西班牙·巴塞罗那,2017,12,27,16:07,201712,29,0.07317073170731707
39,阿布视觉,#用note8创造# @三星GALAXY盖乐世  @中国三星  米拉之家 2西班牙 ​,2017年12月27日 14:39,评论 2, 1,西班牙,2017,12,27,14:39,201712,30,0.12307692307692308
41,_还是小耳朵,🔹🔷米拉之家🔷🔹 2西班牙·Barcelona ​,2017年12月27日 05:26,评论 , 3,西班牙·Barcelona,2017,12,27,05:26,201712,31,0.07142857142857142
42,风行美洲纽约地接,"高迪一人的城市—巴塞罗那， 圣家族教堂， park guill, 米拉之家， 甚至地铁口一出站的公寓楼. 我巴塞的第一眼就是高迪的灯光秀， 像融化的糖果，又像冰淇淋水果顶在上面.  各种曲线，自然元素，天空海洋田野， 铁艺， 高迪的设计真是老少皆宜. 2意大利·罗马 ​",2017年12月27日 04:55,评论 , 1,意大利·罗马,2017,12,27,04:55,201712,32,0.09009009009009009
43,VictoriaQMarcie,#圣诞快乐# 我在西班牙等巴特罗之家的雪停等落地窗上的彩色玻璃褪色等米拉之家的天黑等塞维利亚里比我更高的圣诞树也等一个不知何时才会出现的你现在的我假装赶上了圣诞的尾巴对你说一声Merry Christmas🎄@白敬亭 2西班牙·塞维利亚 ​,2017年12月27日 04:03,评论 , 10,西班牙·塞维利亚,2017,12,27,04:03,201712,33,0.0966183574879227
44,你是太阳蒸发了彷徨,"""直线属于人类 而曲线属于上帝""2026年圣家族大教堂完工后 要再来看一次这个建了一百多年倾注了高迪和各代建筑师心血的建筑只要看到屋顶如雕塑般的烟囱和优美的曲线就能知道这是高迪的作品 美观与功能兼具 佩服他的想象力 相比米拉之家 更喜欢巴特罗之家 海洋气息浓郁 极佳的采光和通风 弧形的木质门窗以及实用独特的黄铜门窗把手 2西班牙·巴塞罗那 收起全文d",2017年12月27日 01:10,评论 , ,西班牙·巴塞罗那,2017,12,27,01:10,201712,34,0.08365019011406843
45,ReneeWang王蕾霓,电影场景布置，米拉之家灵感， 2011西班牙 #巴塞罗那# 之旅。  2西班牙·米拉之家 #拍摄# #旅游# ​,2017年12月26日 19:16,评论 1, 1,西班牙·米拉之家,2017,12,26,19:16,201712,35,0.16783216783216784
46,朵拉BO的垃圾筒,巴塞罗那这座城市出了毕加索，出了米罗，但是，似乎更多的人愿意称这座城市为高迪之城。巴特洛之家、米拉之家、高迪公园、桂尔宫...高迪设计的建筑让人感受到这个建筑家的天才创意，而圣家堂更是让高迪彻底神化，也让[囧]圣家堂携手高迪成为这座城市不老的传说。 ​,2017年12月26日 15:42,评论 , ,,2017,12,26,15:42,201712,118,0.19718309859154928
47,想发论文的学术少年,不得不佩服高迪是真的天才，直线是人类的，曲线才是上帝的。虽然他的一系列作品，只去过了圣家堂，米拉之家，巴约特之家，但是已经足够了。他说过，只有疯子才会试图去描绘世界上不存在的东西！这是一份热爱，生活不易，也要坚持自己喜爱的东西 2西班牙·巴塞罗那 ​,2017年12月26日 13:28,评论 2, 4,西班牙·巴塞罗那,2017,12,26,13:28,201712,37,0.09433962264150944
51,好摄的老贺,米拉之家的楼顶——把楼顶做成公园是个啥感觉？——每日美图：西班牙·巴塞罗那 米拉之家设计的特点是‘它本身建筑物的重量完全由柱子来承受，不论是内墙外墙都没有承受建筑本身的重量，建筑物本身没有主墙’，所以内部的住宅可以随意隔间改建，建筑物不会塌下来，而且，可以设计出更宽大的窗户，保证每个公寓的采光。当时米拉夫妇出钱建这房子，一楼是出租的店铺，二楼叫“主楼”（Piso Principal），是米拉夫妇住的，三、四、五、六楼是出租的住宅，因为高迪设计的力学结构很特别，建筑物的重量完全由柱子来承受，所以出租的每一层楼的隔间布局都不一样，三楼隔出三户住家，四楼隔出四户住家，五楼隔出四户住家，六楼隔出三户住家，每户住家占地也不一样，最大600平方米，最小290平方米。顶楼是用来调节温度，晒衣服用的。屋顶阳台则类似高第的另一个作品桂尔公园（PARC GüELL）中似蛇般的长椅，有30个奇特的烟囱，2个通风口，与6个楼梯口，塔状的楼梯口形状最大，螺旋梯里面暗藏水塔。大多数参观过这栋建筑的人可能会认为米拉之家是壮丽且气势凌人的，也有人对波浪状的外墙觉得太古怪，但，无论如何，米拉之家是巴塞罗那市的地标之一。 收起全文d,2017年12月25日 21:34,评论 , ,,2017,12,25,21:34,201712,38,0.07082630691399663
52,好摄的老贺,"住在大海之上是啥感觉——米拉之家——每日美图：西班牙·巴塞罗那 米拉之家是高迪设计的最后一个私人住宅。当时是富豪米拉先生（Pere Milà）因非常欣赏高迪为巴特罗先生设计的巴特罗之家CASA BATLLó ，为了和富孀 Roser Segimon 结婚，而请高迪设计的。米拉之家 （CASA MILà）建于1906年至1912年间，坐落在西班牙的巴塞罗那市区里的Eixample 扩建区、格拉西亚大道（Passeig de Gràcia）上。米拉之家的拱顶，呈现抛物线或悬链线的形状米拉之家是高迪设计的最后一个私人住宅，占地1,323平方米，有33个阳台，150扇窗户，3个采光中庭（2个大中庭，1个小天井），6 层住宅，1层顶楼（阁楼），1个地下停车场，共有3个门面，两个正门入口。 收起全文d",2017年12月25日 21:31,评论 , ,,2017,12,25,21:31,201712,39,0.10091743119266056
53,_闫大仙儿_,2西班牙·米拉之家#米拉之家# 安东尼奥.高迪 2西班牙·巴塞罗那 ​,2017年12月25日 17:31,评论 , 4,西班牙·米拉之家西班牙·巴塞罗那,2017,12,25,17:31,201712,40,0.06557377049180328
54,用户6284047050,#西班牙# 新年第一游就住到超有爱的青旅，巴塞罗那Casa Gracia，米拉之家附近，楼下就是地铁站。15欧/床位包超丰富吃到撑早餐，每晚还有音乐会呀弗拉明戈呀等活动。如此设计感又超值，我的大爱呀～ ​,2017年12月25日 15:44,评论 1, ,,2017,12,25,15:44,201712,99,0.1164021164021164
55,佳友在线摄影网,【行摄欧洲 索尼A7RM3造访高迪之城】加泰罗尼亚自治区首府巴塞罗那位于伊比利亚半岛东北部，比邻地中海也是西班牙的第二大城市。这里的人可以不会篮球或者其他球类运动，但是如果不会足球那一定会遭来惊异的目光。城市面积101.9公里。仅次于马德里，算是世界上人口中偏稠密的城市。于15世纪初并入西班牙国，是享誉世界的地中海风光名城同样的也是遍地古迹，天才高迪的故乡。圣家堂、米拉之家、巴特由之家等等世界遗产都是出自于这位天才之手。所以巴塞罗那也有另一个响亮的称号高迪之城。这也是A7RM3行走欧洲的第二站。O网页链接 #试机# 收起全文d,2017年12月25日 11:32,评论 3, ,,2017,12,25,11:32,201712,42,0.07365439093484419
56,慕容珠珠,米拉之家，欢迎光临外星人的世界[呲牙][呲牙][呲牙] 2西班牙·米拉之家 ​,2017年12月25日 04:07,评论 , ,西班牙·米拉之家,2017,12,25,04:07,201712,43,0.06349206349206349
57,Ver2无厘头King,Day9.Madrid🚄Barcelona入住W Hotel👍🏻夜店风 睡觉都能看着海😺门卡都sao😻 因为蜜月行还送香槟 好贴心的服务 晚上回去边喝边感受音效😊📍米拉之家 幸亏有中文解说 不然一定看不懂 2西班牙·巴塞罗那 ​,2017年12月25日 03:55,评论 1, 4,西班牙·巴塞罗那,2017,12,25,03:55,201712,44,0.08955223880597014
60,丛中茉莉,米拉之家，曲线美。 ​,2017年12月24日 18:29,评论 , ,,2017,12,24,18:29,201712,45,0.08163265306122448
61,AntonioGaudiLL_魔魔,建筑一词 、是动词、形容词 亦是设计活动中的主语.每一场建筑运动都在讲述一场以”建筑“为中心的故事；由“建筑”这个忠于事实的媒介通过图纸、语言等手法让每个人“阅读”它. “只有疯子才会试图描述世界上不存在的东西.”安东尼奥·高迪的一句日记本中的感喟、却为当代建筑的题跋. 高迪的神乎其神不仅因于”米拉之家”“圣家族大教堂”等对于设计理解的精神重启、更多源自哪些来自于自然的万物的重新界说所带给建筑的新故事.让“建筑”成为一种人与自然对话的最直接门径. 收起全文d,2017年12月24日 14:34,评论 , ,,2017,12,24,14:34,201712,46,0.0880503144654088
63,薄荷绿糖苏打水,#D2📍巴特略之家/米拉之家 ​,2017年12月24日 08:23,评论 , 6,,2017,12,24,08:23,201712,48,0.11650485436893204
65,考cpa的小王,啊啊啊啊啊啊想去！想去诺坎普看球！想去巴塞罗那看高迪的米拉之家及大教堂！,2017年12月15日 13:32,评论 , ,,2017,12,15,13:32,201712,49,0.17886178861788618
66,改变生活丶冥土,#你好旧时光#kuku089【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2017年12月23日 14:12,评论 , ,,2017,12,23,14:12,201712,127,0.18666666666666668
67,大杜杜杜杜杜杜杜子,On the way#Barcelona#2西班牙·米拉之家2西班牙·古埃尔公园 2西班牙·巴塞罗那 ​,2017年12月23日 10:20,评论 , 5,西班牙·米拉之家西班牙·古埃尔公园西班牙·巴塞罗那,2017,12,23,10:20,201712,51,0.08633093525179857
68,Duoniya-,【Casa Batllò & Casa Milà】【巴特罗之家 & 米拉之家】Gaudí 的建筑有多震撼，是我用相机记录不来的…只有身临其境，才模糊知晓他说的那句“直线属于人类，而曲线属于上帝”⚜️ 2西班牙·Barcelona ​,2017年12月23日 01:19,评论 , 17,西班牙·Barcelona,2017,12,23,01:19,201712,52,0.07881773399014778
69,-袁蕴仪,"Hola, Antoni Gaudi.圣家堂& 米拉之家& 巴特洛之家美得让人窒息的色调和结构。#📍高迪之城。 行走在高迪的有趣灵魂中。 2西班牙·巴塞罗那 ​",2017年12月22日 21:56,评论 1, 2,西班牙·巴塞罗那,2017,12,22,21:56,201712,53,0.0718562874251497
71,新月明欧,米拉之家 高迪50多岁创作高峰期的杰作 他就是深堪自然之道随性所欲的天才 。#西班牙##带着微博去旅行##带着微博去西班牙##高迪# 2西班牙·米拉之家 ​,2017年12月22日 07:24,评论 , 5,西班牙·米拉之家,2017,12,22,07:24,201712,55,0.048484848484848485
72,-繁星旅人,在马德里市中心的公寓里画画，楼下的街道嘈杂到午夜，mucha博物馆也在这条街上，对面公寓的人都爱走到窗户前伸个懒腰，躺在床上看对面公寓的视角竟然很像米拉之家的房顶，人间烟火气，又带着那么点儿仙 ​,2017年12月22日 06:42,评论 , 5,,2017,12,22,06:42,201712,56,0.10810810810810811
73,禾子培培,"Barcelona, your stage name is Antoni Gaudi i Cornet.米拉之家巴特罗之家圣家堂奎尔公园Amazing Gaudi 2西班牙·巴塞罗那 ​",2017年12月22日 05:41,评论 , 1,西班牙·巴塞罗那,2017,12,22,05:41,201712,57,0.06666666666666667
75,璐姐现在猫狗双全,打卡高迪之城🇪🇸，徒步刷景点，圣家堂，所以著名的教堂万年都在维修我算是看出来了，里面也不是很震撼我🙄️，米拉之家，巴特略之家，一个比一个门票贵，没钱看…有缘再见吧。很满意今日一米九的摄影师，站得高角度就是好哈哈哈哈哈 2西班牙·巴塞罗那 ​,2017年12月22日 00:19,评论 , 6,西班牙·巴塞罗那,2017,12,22,00:19,201712,59,0.10628019323671498
76,芭莎男士,"#新奇体验派# 米拉之家建于1906年至1912年间，坐落在西班牙的巴塞罗那市区里的Eixample 扩建区、格拉西亚大道（Passeig de Gràcia）上。米拉之家的拱顶呈现抛物线或悬链线的形状米拉之家是高迪设计的最后一个私人住宅，占地1,323平方米，有33个阳台，150扇窗户，3个采光中庭（2个大中庭，1个小天井），6层住宅，1层顶楼（阁楼），1个地下停车场，共有3个门面，两个正门入口。鬼才高迪的作品，灵感来自于士兵的盔甲。 收起全文d",2017年12月21日 22:29,评论 2, 32,,2017,12,21,22:29,201712,60,0.11501597444089456
77,HoiApriL,一些被遗落的小照片 #日常的平和#2奥地利·萨尔茨堡2奥地利·哈尔施塔特2德国·国王湖2西班牙·米拉之家 ​,2017年12月21日 18:41,评论 4, 9,奥地利·萨尔茨堡奥地利·哈尔施塔特德国·国王湖西班牙·米拉之家,2017,12,21,18:41,201712,61,0.09929078014184398
79,Angelafancy,#西班牙# Day2 圣家堂 ➡️ 米拉之家➡️Les Quinze Nits ➡️遥望地中海 2西班牙·米拉之家 ​,2017年12月21日 08:10,评论 2, 5,西班牙·米拉之家,2017,12,21,08:10,201712,62,0.1095890410958904
80,魔帆摄影byMoreFun,米拉之家，高迪最后一个私人住宅设计。不太能读懂鬼才设计师的用意，也很难拍全它们的线条。高迪相信直线属于人类曲线才是属于上帝的。每个房间的迂回连接里，是精致与实用的巧妙结合，也有着沉睡百年的温情。  #巴塞罗那旅行# @西班牙驻华大使馆官方微博 @西班牙国家旅游局 @加泰罗尼亚旅游官网 @巴塞罗那中文网 @西班牙语新闻 @张小魔-魔帆摄影 收起全文d,2017年12月20日 18:03,评论 , ,,2017,12,20,18:03,201712,63,0.03816793893129771
81,大明明明明明明明明明明明明明,米拉之家&兰布拉购物大道&博盖利亚市场#迷失在巴塞罗那# ​,2017年12月20日 15:07,评论 7, 10,,2017,12,20,15:07,201712,64,0.11965811965811966
83,奢先生全球购,2西班牙·米拉之家#lv# LV♥️粉色围巾现货！冬日必备～➕微看直播 ONLYMARAT 2西班牙 ​,2017年12月19日 20:12,评论 , ,西班牙·米拉之家西班牙,2017,12,19,20:12,201712,65,0.05755395683453238
84,奢先生全球购,#lv#2西班牙·米拉之家 LV♥️限量款脸谱系列短款钱包 ➕微看直播 ONLYMARAT 2西班牙 ​,2017年12月19日 19:55,评论 , 1,西班牙·米拉之家西班牙,2017,12,19,19:55,201712,66,0.08633093525179857
85,囍禾,非常喜欢在巴塞罗那的米拉之家拍下的这张照片，一百多年前欧洲家庭的样子。其实欧洲许多皇宫都比这富丽堂皇的多，可就是喜欢它的朴素简洁温馨，阳光下缝纫熨烫，心里没有喧嚣，用“岁月静好”形容这张照片最最贴切。 ​​​,2017年12月19日 12:08,评论 27, 32,,2017,12,19,12:08,201712,67,0.09424083769633508
86,fancyooga,Wandering in spain高迪第二日，仍然怀着膜拜去看曲线和结构，看他怎么看待有机自然。公园在山上，米拉之家在闹市街，但都大写着他的名字让人一眼认出。至于我，今日是豹纹女孩，但是为毕加索穿的，fine。我以毕加索式坐姿在高迪的作品，fine。但美术馆明天去，fine。 2西班牙·巴塞罗那 ​,2017年12月19日 06:14,评论 1, 10,西班牙·巴塞罗那,2017,12,19,06:14,201712,68,0.07563025210084033
87,纪东宝,米拉之家，高迪的最后一件私人建筑设计。“直线属于人类，而曲线归于上帝。”O有哪些建筑看上去让你觉得吃惊? ​,2017年12月18日 18:43,评论 , 8,,2017,12,18,18:43,201712,69,0.07092198581560284
89,该用户是王九龙女朋友,"一下飞机发现行李丢了当地人民英文水平过于感人，自己满脑子只会ola amigo...情急之下开发新玩法，去机场burberry买几样东西，换来销售小哥一上午跑来跑去帮我们找行李，找到了还手把手教退税，最后一路送上机场接驳车，简直win-win🌈下午去膜拜高迪, 恐高症人士差点迷醉在米拉之家的天台。巴特罗之家美到说不出话来。随处可见浪漫的海洋情怀，高天才大概心里住了个小公主。最爱看细节的人拜倒在门把手地板的设计，海藻状的铁艺阳台还有神之采光。巧思已经不足以形容，而开始设计时居然还不是科班。百年前的设计师大概是神祗。 2西班牙·巴塞罗那 收起全文d",2017年12月18日 09:52,评论 10, 9,西班牙·巴塞罗那,2017,12,18,09:52,201712,70,0.049723756906077346
90,冰冰Iris,很幸运遇上这么好的天气，带着敬仰之心，膜拜上帝的建筑师高迪的杰作。喜欢米拉之家 Casa Milà天台上天马行空的设计，最爱这个“你瞅啥？”“瞅你咋地！” ​,2017年12月18日 06:47,评论 , ,,2017,12,18,06:47,201712,71,0.0963855421686747
91,脆弱的王子咩,#伊比利亚的鲜花废墟# 西班牙最爱巴塞罗那，巴塞罗那最爱米拉之家。[噢耶]此次伊比利亚半岛最爱的一张。Casa Mila。 ​,2017年12月18日 06:01,评论 , ,,2017,12,18,06:01,201712,72,0.16
92,Medea0620,2西班牙·米拉之家2西班牙·巴塞罗那 2西班牙·巴塞罗那 ​,2017年12月18日 04:38,评论 1, 2,西班牙·米拉之家西班牙·巴塞罗那西班牙·巴塞罗那,2017,12,18,04:38,201712,73,0.06837606837606838
94,小婉兒_同學,几何学家的独特建筑风格及折衷主义装饰2西班牙·米拉之家西班牙建筑大师：安东尼·高迪-[西]夏威尔·古埃尔 2西班牙·米拉之家 ​,2017年12月17日 18:54,评论 , 1,西班牙·米拉之家西班牙·米拉之家,2017,12,17,18:54,201712,74,0.07947019867549669
95,Michelangela,Casa Milà 米拉之家之前在艺术历史书上看到是和巴特尤公寓放在一起讲解的，外形上虽然没有巴特尤那么的梦幻充满彩色色彩，但是它独有的天台也是很有特色的，还保留着很多带有着那个年代的房间供参观比巴特尤室内参观点更多，参观完后也似乎明白了为什么比巴特尤票更贵😶 2西班牙·巴塞罗那 ​,2017年12月17日 15:40,评论 3, ,西班牙·巴塞罗那,2017,12,17,15:40,201712,75,0.0611353711790393
96,细致又温柔,圣家堂/桂尔公园/米拉之家/巴特约之家高迪的直线是属于人类的 曲线是属于上帝的爱 2西班牙·巴塞罗那 ​,2017年12月17日 07:56,评论 5, 1,西班牙·巴塞罗那,2017,12,17,07:56,201712,76,0.08633093525179857
98,奢先生全球购,2西班牙·米拉之家#gucci折扣# 周五就知道你们都没睡 一群夜猫子 再等好货吧！Gucci♥️Marmont系列拉链翻盖包 肩带也很好看！原价代 Gucci♥️Marmont系列带手柄的邮差包 两个size 原价代Gucci♥️短款锁扣钱包 好看的！今年不买gucci你就out咯！ 2西班牙 ​,2017年12月16日 01:26,评论 , ,西班牙·米拉之家西班牙,2017,12,16,01:26,201712,77,0.04219409282700422
99,少女医生小j,西语歌的魅力太大啦，有一种听旋律就想扭起来的冲动。想去米拉之家，想去诺砍普球场，想看吉普赛女郎跳flamingo，。。。想做的事情真的太多啦，令人秃头的考试月，只能靠做旅行计划支撑下去。分享单曲 KDarte un Beso (Benjamin Blank Remix) (@网易云音乐) ​,2017年12月16日 00:43,评论 , 2,,2017,12,16,00:43,201712,78,0.060085836909871244
100,摩英国际熊威Anson,"Day 1 之 梅西餐厅梅老板开的餐厅就在市中心，坐地铁，走走路都挺方便的，旁边是非常宽的格拉西亚大道，类似于上海的淮海路，好多有名的建筑，巴特罗之家，米拉之家之类的。梅西餐厅面积不小，不过说实话，菜吃不太习惯啊，哈哈。和一群有共同爱好共同语言的小伙伴来朝圣，才是最开心的。俏皮的服务员帮我们拍合影时带着大家喊""messi messi messi""的，也是带了一波小节奏啊，哈哈。PS：上周梅西老板带着队友们刚刚来餐厅吃过饭庆功呢。同一空间 不同时间 梅西大帝 有缘见面#巴塞罗那梦想之旅##巴萨朝圣梦想之旅##西班牙国家德比# @体坛滨岩 @巴萨球迷俱乐部 @巴萨上海红蓝魂球迷会 @巴萨新闻 2西班牙·巴塞罗那 收起全文d",2017年12月15日 14:47,评论 1, 3,西班牙·巴塞罗那,2017,12,15,14:47,201712,79,0.05
